Time;Wind;PV
 01/01  01:00:00;0.154;0
 01/01  02:00:00;0.124;0
 01/01  03:00:00;0.102;0
 01/01  04:00:00;0.085;0
 01/01  05:00:00;0.071;0
 01/01  06:00:00;0.07;0.012
 01/01  07:00:00;0.108;0.155
 01/01  08:00:00;0.109;0.329
 01/01  09:00:00;0.087;0.493
 01/01  10:00:00;0.087;0.602
 01/01  11:00:00;0.102;0.657
 01/01  12:00:00;0.125;0.651
 01/01  13:00:00;0.143;0.593
 01/01  14:00:00;0.164;0.507
 01/01  15:00:00;0.203;0.373
 01/01  16:00:00;0.263;0.214
 01/01  17:00:00;0.37;0.08
 01/01  18:00:00;0.483;0
 01/01  19:00:00;0.437;0
 01/01  20:00:00;0.306;0
 01/01  21:00:00;0.183;0
 01/01  22:00:00;0.11;0
 01/01  23:00:00;0.073;0
 01/01  24:00:00;0.056;0
 01/02  01:00:00;0.05;0
 01/02  02:00:00;0.054;0
 01/02  03:00:00;0.061;0
 01/02  04:00:00;0.067;0
 01/02  05:00:00;0.07;0
 01/02  06:00:00;0.061;0.016
 01/02  07:00:00;0.046;0.174
 01/02  08:00:00;0.016;0.359
 01/02  09:00:00;0.009;0.535
 01/02  10:00:00;0.021;0.643
 01/02  11:00:00;0.048;0.704
 01/02  12:00:00;0.107;0.712
 01/02  13:00:00;0.194;0.676
 01/02  14:00:00;0.289;0.594
 01/02  15:00:00;0.386;0.437
 01/02  16:00:00;0.504;0.247
 01/02  17:00:00;0.634;0.098
 01/02  18:00:00;0.671;0.001
 01/02  19:00:00;0.581;0
 01/02  20:00:00;0.43;0
 01/02  21:00:00;0.281;0
 01/02  22:00:00;0.187;0
 01/02  23:00:00;0.143;0
 01/02  24:00:00;0.113;0
 01/03  01:00:00;0.088;0
 01/03  02:00:00;0.07;0
 01/03  03:00:00;0.053;0
 01/03  04:00:00;0.039;0
 01/03  05:00:00;0.033;0
 01/03  06:00:00;0.033;0.01
 01/03  07:00:00;0.045;0.148
 01/03  08:00:00;0.035;0.35
 01/03  09:00:00;0.026;0.523
 01/03  10:00:00;0.026;0.645
 01/03  11:00:00;0.052;0.706
 01/03  12:00:00;0.086;0.717
 01/03  13:00:00;0.136;0.68
 01/03  14:00:00;0.183;0.601
 01/03  15:00:00;0.231;0.478
 01/03  16:00:00;0.306;0.297
 01/03  17:00:00;0.467;0.109
 01/03  18:00:00;0.667;0.001
 01/03  19:00:00;0.699;0
 01/03  20:00:00;0.572;0
 01/03  21:00:00;0.363;0
 01/03  22:00:00;0.199;0
 01/03  23:00:00;0.142;0
 01/03  24:00:00;0.135;0
 01/04  01:00:00;0.146;0
 01/04  02:00:00;0.165;0
 01/04  03:00:00;0.175;0
 01/04  04:00:00;0.152;0
 01/04  05:00:00;0.107;0
 01/04  06:00:00;0.084;0.012
 01/04  07:00:00;0.085;0.141
 01/04  08:00:00;0.054;0.313
 01/04  09:00:00;0.036;0.496
 01/04  10:00:00;0.034;0.633
 01/04  11:00:00;0.048;0.708
 01/04  12:00:00;0.07;0.719
 01/04  13:00:00;0.11;0.675
 01/04  14:00:00;0.163;0.594
 01/04  15:00:00;0.234;0.472
 01/04  16:00:00;0.322;0.304
 01/04  17:00:00;0.424;0.11
 01/04  18:00:00;0.543;0.001
 01/04  19:00:00;0.554;0
 01/04  20:00:00;0.408;0
 01/04  21:00:00;0.245;0
 01/04  22:00:00;0.172;0
 01/04  23:00:00;0.134;0
 01/04  24:00:00;0.114;0
 01/05  01:00:00;0.109;0
 01/05  02:00:00;0.121;0
 01/05  03:00:00;0.137;0
 01/05  04:00:00;0.133;0
 01/05  05:00:00;0.113;0
 01/05  06:00:00;0.094;0.008
 01/05  07:00:00;0.064;0.111
 01/05  08:00:00;0.022;0.277
 01/05  09:00:00;0.002;0.426
 01/05  10:00:00;0;0.548
 01/05  11:00:00;0.003;0.622
 01/05  12:00:00;0.016;0.628
 01/05  13:00:00;0.046;0.597
 01/05  14:00:00;0.092;0.498
 01/05  15:00:00;0.14;0.392
 01/05  16:00:00;0.201;0.251
 01/05  17:00:00;0.316;0.089
 01/05  18:00:00;0.538;0
 01/05  19:00:00;0.6;0
 01/05  20:00:00;0.411;0
 01/05  21:00:00;0.237;0
 01/05  22:00:00;0.142;0
 01/05  23:00:00;0.142;0
 01/05  24:00:00;0.2;0
 01/06  01:00:00;0.203;0
 01/06  02:00:00;0.157;0
 01/06  03:00:00;0.127;0
 01/06  04:00:00;0.119;0
 01/06  05:00:00;0.12;0
 01/06  06:00:00;0.122;0.011
 01/06  07:00:00;0.154;0.135
 01/06  08:00:00;0.104;0.324
 01/06  09:00:00;0.068;0.505
 01/06  10:00:00;0.044;0.632
 01/06  11:00:00;0.042;0.694
 01/06  12:00:00;0.082;0.708
 01/06  13:00:00;0.175;0.669
 01/06  14:00:00;0.281;0.587
 01/06  15:00:00;0.336;0.452
 01/06  16:00:00;0.366;0.277
 01/06  17:00:00;0.459;0.094
 01/06  18:00:00;0.602;0
 01/06  19:00:00;0.614;0
 01/06  20:00:00;0.487;0
 01/06  21:00:00;0.332;0
 01/06  22:00:00;0.203;0
 01/06  23:00:00;0.145;0
 01/06  24:00:00;0.127;0
 01/07  01:00:00;0.12;0
 01/07  02:00:00;0.096;0
 01/07  03:00:00;0.064;0
 01/07  04:00:00;0.044;0
 01/07  05:00:00;0.036;0
 01/07  06:00:00;0.035;0.014
 01/07  07:00:00;0.037;0.174
 01/07  08:00:00;0.022;0.376
 01/07  09:00:00;0.021;0.537
 01/07  10:00:00;0.053;0.655
 01/07  11:00:00;0.15;0.71
 01/07  12:00:00;0.224;0.716
 01/07  13:00:00;0.245;0.673
 01/07  14:00:00;0.268;0.593
 01/07  15:00:00;0.346;0.439
 01/07  16:00:00;0.466;0.244
 01/07  17:00:00;0.575;0.09
 01/07  18:00:00;0.606;0
 01/07  19:00:00;0.524;0
 01/07  20:00:00;0.366;0
 01/07  21:00:00;0.229;0
 01/07  22:00:00;0.121;0
 01/07  23:00:00;0.054;0
 01/07  24:00:00;0.033;0
 01/08  01:00:00;0.025;0
 01/08  02:00:00;0.02;0
 01/08  03:00:00;0.021;0
 01/08  04:00:00;0.027;0
 01/08  05:00:00;0.029;0
 01/08  06:00:00;0.034;0.005
 01/08  07:00:00;0.056;0.077
 01/08  08:00:00;0.07;0.183
 01/08  09:00:00;0.069;0.293
 01/08  10:00:00;0.075;0.446
 01/08  11:00:00;0.111;0.521
 01/08  12:00:00;0.158;0.548
 01/08  13:00:00;0.183;0.557
 01/08  14:00:00;0.202;0.543
 01/08  15:00:00;0.214;0.424
 01/08  16:00:00;0.218;0.234
 01/08  17:00:00;0.238;0.078
 01/08  18:00:00;0.323;0
 01/08  19:00:00;0.38;0
 01/08  20:00:00;0.349;0
 01/08  21:00:00;0.274;0
 01/08  22:00:00;0.204;0
 01/08  23:00:00;0.133;0
 01/08  24:00:00;0.072;0
 01/09  01:00:00;0.039;0
 01/09  02:00:00;0.023;0
 01/09  03:00:00;0.018;0
 01/09  04:00:00;0.015;0
 01/09  05:00:00;0.011;0
 01/09  06:00:00;0.007;0.005
 01/09  07:00:00;0.003;0.081
 01/09  08:00:00;0.002;0.216
 01/09  09:00:00;0.003;0.373
 01/09  10:00:00;0.008;0.526
 01/09  11:00:00;0.032;0.592
 01/09  12:00:00;0.116;0.555
 01/09  13:00:00;0.264;0.486
 01/09  14:00:00;0.394;0.418
 01/09  15:00:00;0.448;0.315
 01/09  16:00:00;0.451;0.184
 01/09  17:00:00;0.423;0.065
 01/09  18:00:00;0.339;0
 01/09  19:00:00;0.237;0
 01/09  20:00:00;0.16;0
 01/09  21:00:00;0.155;0
 01/09  22:00:00;0.162;0
 01/09  23:00:00;0.133;0
 01/09  24:00:00;0.096;0
 01/10  01:00:00;0.076;0
 01/10  02:00:00;0.068;0
 01/10  03:00:00;0.06;0
 01/10  04:00:00;0.052;0
 01/10  05:00:00;0.035;0
 01/10  06:00:00;0.023;0.009
 01/10  07:00:00;0.043;0.154
 01/10  08:00:00;0.038;0.342
 01/10  09:00:00;0.003;0.5
 01/10  10:00:00;0.001;0.608
 01/10  11:00:00;0.052;0.666
 01/10  12:00:00;0.174;0.674
 01/10  13:00:00;0.267;0.616
 01/10  14:00:00;0.366;0.523
 01/10  15:00:00;0.487;0.356
 01/10  16:00:00;0.606;0.211
 01/10  17:00:00;0.667;0.077
 01/10  18:00:00;0.659;0
 01/10  19:00:00;0.581;0
 01/10  20:00:00;0.407;0
 01/10  21:00:00;0.192;0
 01/10  22:00:00;0.06;0
 01/10  23:00:00;0.013;0
 01/10  24:00:00;0.003;0
 01/11  01:00:00;0.001;0
 01/11  02:00:00;0;0
 01/11  03:00:00;0;0
 01/11  04:00:00;0;0
 01/11  05:00:00;0.001;0
 01/11  06:00:00;0.008;0.012
 01/11  07:00:00;0.011;0.134
 01/11  08:00:00;0.011;0.288
 01/11  09:00:00;0.016;0.426
 01/11  10:00:00;0.029;0.518
 01/11  11:00:00;0.05;0.569
 01/11  12:00:00;0.071;0.584
 01/11  13:00:00;0.118;0.557
 01/11  14:00:00;0.191;0.475
 01/11  15:00:00;0.28;0.324
 01/11  16:00:00;0.358;0.182
 01/11  17:00:00;0.411;0.059
 01/11  18:00:00;0.397;0
 01/11  19:00:00;0.317;0
 01/11  20:00:00;0.238;0
 01/11  21:00:00;0.154;0
 01/11  22:00:00;0.075;0
