Time;P_inflow
 01/01  01:00:00;0.06989219
 01/01  02:00:00;0.087365237
 01/01  03:00:00;0.104838285
 01/01  04:00:00;0.104838285
 01/01  05:00:00;0.113574808
 01/01  06:00:00;0.104838285
 01/01  07:00:00;0.087365237
 01/01  08:00:00;0.061155666
 01/01  09:00:00;0.034946095
 01/01  10:00:00;0.017473047
 01/01  11:00:00;0.008736524
 01/01  12:00:00;0.008736524
 01/01  13:00:00;0.37567052
 01/01  14:00:00;0.157257427
 01/01  15:00:00;0.078628713
 01/01  16:00:00;0.078628713
 01/01  17:00:00;0.157257427
 01/01  18:00:00;0.297041806
 01/01  19:00:00;0.515454899
 01/01  20:00:00;0.725131468
 01/01  21:00:00;0.768814087
 01/01  22:00:00;0.637766231
 01/01  23:00:00;0.384407043
 01/01  24:00:00;0.366933996
 01/02  01:00:00;0.489245328
 01/02  02:00:00;0.655239278
 01/02  03:00:00;0.559137518
 01/02  04:00:00;0.454299233
 01/02  05:00:00;0.428089662
 01/02  06:00:00;0.497981852
 01/02  07:00:00;0.61155666
 01/02  08:00:00;0.655239278
 01/02  09:00:00;0.61155666
 01/02  10:00:00;0.428089662
 01/02  11:00:00;0.297041806
 01/02  12:00:00;0.200940045
 01/02  13:00:00;0
 01/02  14:00:00;0.008736524
 01/02  15:00:00;0.008736524
 01/02  16:00:00;0.017473047
 01/02  17:00:00;0.034946095
 01/02  18:00:00;0.034946095
 01/02  19:00:00;0.034946095
 01/02  20:00:00;0.034946095
 01/02  21:00:00;0.034946095
 01/02  22:00:00;0.026209571
 01/02  23:00:00;0.017473047
 01/02  24:00:00;0.017473047
 01/03  01:00:00;0.017473047
 01/03  02:00:00;0.008736524
 01/03  03:00:00;0.008736524
 01/03  04:00:00;0.008736524
 01/03  05:00:00;0.008736524
 01/03  06:00:00;0.008736524
 01/03  07:00:00;0.008736524
 01/03  08:00:00;0.008736524
 01/03  09:00:00;0
 01/03  10:00:00;0
 01/03  11:00:00;0
 01/03  12:00:00;0
 01/03  13:00:00;0.008736524
 01/03  14:00:00;0.008736524
 01/03  15:00:00;0.008736524
 01/03  16:00:00;0
